기능 요구사항 (Functional Requirements) - FitNote Trainer,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
FR-ID,대분류,기능명,기능설명,대상 사용자,채널,입력·조건,출력·결과,예외처리,적용버전,구현 깊이,MoSCoW,상태,데이터 영향,권한 영향,보안·개인정보 영향,관련 엔티티 후보,비고
FR-011,회원/프로필 관리,신체 기준 정보 입력,"트레이너는 회원 등록 시 자세 분석 정확도 향상을 위해 키, 체중, 체형 특성 등 기본 신체 기준 정보를 입력할 수 있다.",트레이너,Web/Gradio,"회원 선택 또는 신규 등록, 키, 체중, 체형 특성",회원 프로필에 신체 기준 정보 저장,미입력 시 기본값 또는 미확인 상태로 저장,MVP,상세 구현,Should,검토중,회원 프로필 테이블에 신체 기준 필드 추가,"트레이너 작성, 회원 열람 가능 여부는 선택","신체정보, 개인정보","members, member_body_profiles",의료 진단 목적이 아니라 자세 분석 보정용 정보로 명시
FR-012,회원/프로필 관리,관절 기준 정보 입력,"트레이너는 회원의 어깨, 골반, 무릎, 발목 등 주요 관절 기준 정보를 입력하거나 선택할 수 있다.",트레이너,Web/Gradio,"회원 선택, 관절 항목, 좌우 특이사항, 가동성 제한 여부",회원별 관절 기준 정보 저장,입력값 누락 시 해당 관절은 분석 보정에서 제외,MVP,상세 구현,Should,검토중,관절 기준 정보 저장 구조 필요,"트레이너 작성, 회원 제한 열람","신체정보, 민감 가능 정보",member_joint_profiles,“관절 진단”이 아니라 “자세 분석 참고 정보”로 표현
FR-013,회원/프로필 관리,좌우 비대칭/가동성 특이사항 입력,"트레이너는 회원의 어깨 높이 차이, 골반 틀어짐, 무릎 정렬, 발목 가동성 등 자세 분석에 영향을 줄 수 있는 특이사항을 기록할 수 있다.",트레이너,Web/Gradio,"좌우 비대칭 여부, 가동성 제한, 통증 관련 주의사항",자세 분석 참고용 특이사항 저장,민감 정보 입력 시 주의 문구 표시,MVP,상세 구현,Should,검토중,member_joint_profiles 또는 member_notes 확장,"트레이너 작성, 회원 열람은 리포트용 요약만 권장","신체정보, 민감정보 가능","member_joint_profiles, member_health_notes",통증/부상 정보와 섞일 수 있어 표현 주의
FR-014,자세 분석,관절 정보 기반 자세 분석 보정,시스템은 회원 프로필에 저장된 관절 기준 정보를 활용해 YOLO 자세 분석 결과를 보정하거나 참고값으로 사용할 수 있다.,시스템,Backend,"회원 사진, YOLO 분석 결과, 회원 관절 기준 정보",자세 점수 및 분석 코멘트에 보정 정보 반영,관절 정보가 없으면 기본 기준 자세와 비교,MVP,Data-ready,Should,검토중,자세 분석 로직이 member_joint_profiles 참조,"시스템 내부 처리, 트레이너 결과 확인",신체정보 처리,"posture_analysis_results, member_joint_profiles",4일 데모에서는 실제 보정 대신 설명/더미 로직으로 처리 가능
FR-015,자세 분석,분석 기준 정보 표시,시스템은 자세 분석 결과 화면에서 어떤 기준 정보가 분석에 참고되었는지 트레이너가 확인할 수 있게 표시한다.,트레이너,Web/Gradio,"자세 분석 결과, 회원 신체/관절 기준 정보",“키/체형/관절 특이사항 참고” 표시,기준 정보가 없으면 “기본 기준으로 분석” 표시,MVP,상세 구현,Could,검토중,분석 결과 화면에 참고 기준 표시 필드 추가,트레이너 열람 중심,신체정보 노출 주의,"posture_analysis_results, member_body_profiles",회원에게는 너무 세부적인 신체 정보 노출 지양
FR-016,개인정보/동의,신체·관절 정보 수집 안내,"시스템은 회원의 신체 및 관절 관련 정보를 입력할 때, 해당 정보가 자세 분석 참고용으로 사용된다는 안내를 제공한다.","트레이너, 회원",Web/Gradio,신체/관절 정보 입력 시,수집 목적 안내 문구 표시,동의/안내 없이 민감 정보 입력 시 저장 제한 또는 주의 표시,MVP,상세 구현,Must,검토중,동의/안내 상태 저장 가능,"트레이너 입력, 회원 동의 필요 가능","신체정보, 민감정보 가능, 개인정보","member_consents, member_joint_profiles",미니프로젝트에서는 안내 문구만 표시해도 충분
FR-017,인바디/변화 관리,인바디 검사 결과 업로드,트레이너는 회원의 인바디 검사지를 이미지 또는 파일로 업로드해 저장할 수 있다.,트레이너,FitNote Trainer Web/PWA,"회원, 검사일, 인바디 이미지/파일",회원별 인바디 기록 저장,민감정보 동의 미확인 또는 파일 오류 시 저장 제한,v0.2,기본 구현,Should,후보,"inbody_records, files 신규",담당 트레이너/회원 본인 열람,"건강 민감정보, 파일 보관 정책 필요","inbody_records, members",변화 기록의 중요한 기준
FR-018,인바디/변화 관리,인바디 변화 비교,"시스템은 이전/다음 인바디 검사 결과의 체중, 골격근량, 체지방률 등을 비교한다.","트레이너, 회원",FitNote Trainer Web/PWA,둘 이상의 인바디 기록,수치 변화 및 증감 표시,비교 가능한 기록이 2개 미만이면 안내,v0.2,기본 구현,Should,후보,inbody_metrics 조회/계산,본인/담당 범위,건강 수치 민감정보,"inbody_records, inbody_metrics",회원이 신체 변화를 확인하도록 지원
FR-019,인바디/변화 관리,신체 변화 시각화,시스템은 인바디 수치 변화를 그래프나 카드 형태로 시각화한다.,"트레이너, 회원",FitNote Trainer Web/PWA,인바디 수치 이력,"체중, 골격근량, 체지방률 변화 그래프",데이터 부족 시 최근 값 카드만 표시,v0.2,기본 구현,Should,후보,inbody_metrics 집계,본인/담당 범위,건강 수치 노출 관리,inbody_metrics,동기부여와 재등록 판단 도움
FR-020,자세 분석,자세 점수 변화 기록,시스템은 자세 분석 점수를 누적해 이전 사진/점수와 비교할 수 있게 한다.,"트레이너, 회원",FitNote Trainer Web/PWA,자세 분석 결과 이력,자세 점수 변화 및 이전/현재 비교 표시,이전 분석 기록이 없으면 단일 결과만 표시,v0.2,기본 구현,Should,후보,posture_scores 이력 조회,본인/담당 범위,신체 분석 이력,"posture_scores, posture_images",자세 교정 효과를 시각적으로 확인
FR-021,과제 관리,과제 수행 체크,회원 또는 트레이너는 등록된 과제의 수행 여부를 체크하고 확인할 수 있다.,"트레이너, 회원",FitNote Trainer Web/PWA,"과제 완료 여부, 수행 메모",과제 수행 상태 갱신,마감 이후 체크 시 지연 상태 표시,v0.2,기본 구현,Should,후보,assignment_completions 생성/수정,"회원 본인 체크, 트레이너 확인",운동 수행 정보,"assignments, assignment_completions",수업 외 훈련 관리 흐름 강화
FR-022,리포트,회원별 변화 리포트,"시스템은 자세 점수, 인바디 변화, 수업 기록을 묶어 회원의 변화 흐름을 보여준다.","트레이너, 회원",FitNote Trainer Web/PWA,"세션, 자세 점수, 인바디 이력",기간별 변화 리포트 표시,일부 데이터가 없으면 가능한 지표만 표시,v0.2,기본 구현,Should,후보,report aggregates 생성/조회,본인/담당 범위,건강/운동 이력 통합 정보,"reports, sessions, posture_scores, inbody_metrics",PT 효과 설명 자료로 활용 가능
FR-023,운영 효율,운동 템플릿,트레이너는 자주 쓰는 운동 루틴이나 과제를 템플릿으로 저장하고 재사용할 수 있다.,트레이너,FitNote Trainer Web/PWA,"템플릿명, 운동 목록, 기본 세트/횟수, 주의사항",세션/과제 작성 시 템플릿 불러오기,중복 템플릿명 또는 삭제된 템플릿 사용 시 안내,v0.2,기본 구현,Should,후보,exercise_templates 신규,작성자 트레이너 전용 또는 센터 공유 설정,개인정보 영향 낮음,"exercise_templates, template_items",반복 입력 부담 감소
FR-024,일정 관리,일정 관리,트레이너는 회원별 다음 PT 일정을 등록하고 확인할 수 있다.,트레이너,FitNote Trainer Web/PWA,"회원, 일정, 수업 상태",회원별 예정 일정 표시,중복 일정 또는 과거 일정 입력 시 확인 안내,v0.3,개념 설계,Could,후보,pt_schedules 신규,담당 회원 일정만 관리,일정 개인정보,"pt_schedules, members",MVP 핵심은 기록/분석/피드백이므로 후순위
FR-025,회원 관리,회원 검색/필터,"트레이너는 이름, 목표, 통증 부위 기준으로 회원을 검색하거나 필터링할 수 있다.",트레이너,FitNote Trainer Web/PWA,"검색어, 목표/주의사항 필터",조건에 맞는 회원 목록 표시,검색 결과가 없으면 빈 상태 표시,v0.3,개념 설계,Could,후보,members 인덱스/검색 조건,담당 회원 범위 검색,건강 키워드 검색 주의,"members, health_notes",회원 수가 많을 때 유용
FR-026,알림,과제/수업 전 알림,시스템은 과제 마감일이나 다음 수업 전 알림을 회원 또는 트레이너에게 보낸다.,"트레이너, 회원",PWA Push / 알림,"과제 마감일, 수업 일정, 알림 설정",알림 발송 및 발송 이력 저장,알림 권한 거부 또는 발송 실패 시 화면 내 안내,v0.3,개념 설계,Could,후보,"notifications, notification_logs 신규",본인 관련 알림만 수신,알림 내용에 민감정보 최소화,"notifications, assignments, pt_schedules",실제 서비스에는 필요하지만 초기 구현 부담
FR-027,리포트,PDF 리포트 출력,트레이너는 회원 리포트를 PDF로 저장하거나 출력할 수 있다.,트레이너,FitNote Trainer Web/PWA,"리포트 기간, 회원 선택",PDF 파일 생성 또는 다운로드,생성 실패 시 재시도 안내,v0.3,개념 설계,Could,후보,report_exports 생성,담당 회원 리포트만 출력,외부 저장 파일 관리 주의,"report_exports, reports",발표 완성도는 높지만 MVP 핵심 흐름은 아님
FR-028,자세 분석,자세 분석 히스토리 상세 보기,트레이너와 회원은 과거 자세 이미지와 분석 결과를 상세 비교할 수 있다.,"트레이너, 회원",FitNote Trainer Web/PWA,"회원, 운동 동작, 기간",과거/현재 자세 이미지와 점수 비교 화면,기록이 부족하면 최신 분석만 표시,v0.3,개념 설계,Could,후보,posture_analysis 이력 조회,본인/담당 범위,신체 이미지 이력 관리,"posture_images, posture_analysis, posture_scores",장기 사용 시 유용하지만 초기 데모에서는 간단 비교로 충분
